Id,Time,Value
2347167796,3/29/2016 6:38:45 PM,79
2347167796,3/29/2016 6:38:50 PM,81
2347167796,3/29/2016 6:39:05 PM,81
2347167796,3/29/2016 6:39:10 PM,81
2347167796,3/29/2016 6:39:25 PM,81
2347167796,3/29/2016 6:39:30 PM,81
2347167796,3/29/2016 6:39:45 PM,83
2347167796,3/29/2016 6:39:50 PM,84
2347167796,3/29/2016 6:39:55 PM,85
2347167796,3/29/2016 6:40:00 PM,85
2347167796,3/29/2016 6:40:05 PM,84
2347167796,3/29/2016 6:40:10 PM,85
2347167796,3/29/2016 6:40:15 PM,85
2347167796,3/29/2016 6:40:20 PM,84
2347167796,3/29/2016 6:40:25 PM,83
2347167796,3/29/2016 6:40:40 PM,83
2347167796,3/29/2016 6:40:55 PM,83
2347167796,3/29/2016 6:41:10 PM,83
2347167796,3/29/2016 6:41:25 PM,83
2347167796,3/29/2016 6:41:30 PM,83
2347167796,3/29/2016 6:41:35 PM,82
2347167796,3/29/2016 6:41:45 PM,81
2347167796,3/29/2016 6:41:50 PM,79
2347167796,3/29/2016 6:41:55 PM,78
2347167796,3/29/2016 6:42:05 PM,77
2347167796,3/29/2016 6:42:20 PM,77
2347167796,3/29/2016 6:42:35 PM,77
2347167796,3/29/2016 6:42:40 PM,74
2347167796,3/29/2016 6:42:55 PM,74
2347167796,3/29/2016 6:43:10 PM,74
2347167796,3/29/2016 6:43:15 PM,73
2347167796,3/29/2016 6:43:30 PM,73
2347167796,3/29/2016 6:43:35 PM,71
2347167796,3/29/2016 6:43:40 PM,69
2347167796,3/29/2016 6:43:55 PM,69
2347167796,3/29/2016 6:44:10 PM,69
2347167796,3/29/2016 6:44:15 PM,68
2347167796,3/29/2016 6:44:30 PM,68
2347167796,3/29/2016 6:44:35 PM,69
2347167796,3/29/2016 6:44:40 PM,70
2347167796,3/29/2016 6:44:55 PM,70
2347167796,3/29/2016 6:45:10 PM,70
2347167796,3/29/2016 6:45:20 PM,71
2347167796,3/29/2016 6:45:25 PM,72
2347167796,3/29/2016 6:45:30 PM,74
2347167796,3/29/2016 6:45:35 PM,75
2347167796,3/29/2016 6:45:40 PM,76
2347167796,3/29/2016 6:45:55 PM,76
2347167796,3/29/2016 6:46:05 PM,75
2347167796,3/29/2016 6:46:20 PM,75
2347167796,3/29/2016 6:46:25 PM,76
2347167796,3/29/2016 6:46:30 PM,76
2347167796,3/29/2016 6:46:35 PM,76
2347167796,3/29/2016 6:46:45 PM,77
2347167796,3/29/2016 6:47:00 PM,77
2347167796,3/29/2016 6:47:15 PM,76
2347167796,3/29/2016 6:47:30 PM,76
2347167796,3/29/2016 6:47:35 PM,76
2347167796,3/29/2016 6:47:45 PM,76
2347167796,3/29/2016 6:47:55 PM,76
2347167796,3/29/2016 6:48:10 PM,76
2347167796,3/29/2016 6:48:25 PM,76
2347167796,3/29/2016 6:48:30 PM,77
